date,Soil_Moisture_%
2018-01-02,51.636
2018-01-07,55.236
2018-01-07,54.017
2018-01-14,51.619
2018-01-19,54.938
2018-01-19,53.82
2018-01-26,51.909
2018-01-31,54.061
2018-01-31,54.424
2018-02-07,52.103
2018-02-12,51.251
2018-02-12,54.612
2018-02-19,52.105
2018-02-24,49.629
2018-02-24,54.547
2018-03-03,52.178
2018-03-08,49.808
2018-03-08,54.642
2018-03-15,52.439
2018-03-20,49.959
2018-03-20,54.587
2018-03-27,52.468
2018-04-01,51.771
2018-04-01,54.313
2018-04-08,52.497
2018-04-13,53.702
2018-04-13,54.483
2018-04-20,52.54
2018-04-25,54.272
2018-04-25,54.881
2018-05-02,51.382
2018-05-07,53.977
2018-05-07,54.135
2018-05-14,51.237
2018-05-19,49.76
2018-05-19,54.387
2018-05-26,52.404
2018-05-31,50.427
2018-05-31,54.225
2018-06-07,52.43
2018-06-12,49.139
2018-06-12,54.086
2018-06-19,52.337
2018-06-24,51.539
2018-06-24,54.283
2018-07-01,51.973
2018-07-06,56.683
2018-07-06,54.343
2018-07-13,51.876
2018-07-18,50.435
2018-07-18,53.984
2018-07-25,48.427
2018-07-30,57.654
2018-07-30,48.468
2018-08-06,45.525
2018-08-11,51.02
2018-08-11,52.883
2018-08-18,50.019
2018-08-23,52.191
2018-08-23,52.311
2018-08-30,50.247
2018-09-04,64.261
2018-09-04,48.668
2018-09-11,50.557
2018-09-16,55.19
2018-09-16,53.127
2018-09-23,49.437
2018-09-28,51.758
2018-09-28,53.156
2018-10-05,51.396
2018-10-10,50.475
2018-10-10,53.787
2018-10-17,51.384
2018-10-22,51.084
2018-10-22,53.931
2018-10-29,52.079
2018-11-03,53.969
2018-11-03,54.09
2018-11-10,51.871
2018-11-15,57.027
2018-11-15,53.97
2018-11-22,51.986
2018-11-27,54.865
2018-11-27,54.265
2018-12-04,51.657
2018-12-09,57.388
2018-12-09,54.082
2018-12-16,51.88
2018-12-21,56.11
2018-12-21,53.804
2018-12-28,51.979
2019-01-02,57.13
2019-01-02,53.768
2019-01-09,51.844
2019-01-14,56.868
2019-01-14,53.93
2019-01-21,51.684
2019-01-26,55.188
2019-01-26,53.477
2019-02-02,51.807
2019-02-07,54.372
2019-02-07,54.019
2019-02-14,51.559
2019-02-19,50.618
2019-02-19,53.957
2019-02-26,52.084
2019-03-03,50.838
2019-03-03,53.896
2019-03-10,51.866
2019-03-15,51.114
2019-03-15,54.059
2019-03-22,52.153
2019-03-27,51.052
2019-03-27,53.478
2019-04-03,52.261
2019-04-08,49.12
2019-04-08,53.724
2019-04-15,52.155
2019-04-20,52.571
2019-04-20,54.24
2019-04-27,52.389
2019-05-02,54.076
2019-05-02,52.344
2019-05-09,52.54
2019-05-14,52.859
2019-05-14,54.121
2019-05-21,52.472
2019-05-26,50.495
2019-05-26,54.002
2019-06-07,52.321
2019-06-07,53.781
2019-06-14,52.246
2019-06-19,53.867
2019-06-19,50.546
2019-06-26,51.963
2019-07-01,52.759
2019-07-01,50.591
2019-07-08,45.168
2019-07-13,47.274
2019-07-13,60.414
2019-07-20,50.224
2019-07-25,51.956
2019-07-25,57.95
2019-08-01,50.598
2019-08-06,53.607
2019-08-06,50.733
2019-08-13,50.781
2019-08-18,52.432
2019-08-18,51.056
2019-08-25,49.462
2019-08-30,52.089
2019-08-30,50.733
2019-09-06,51.261
2019-09-11,53.333
2019-09-11,49.881
2019-09-18,44.121
2019-09-23,50.879
2019-09-23,51.9
2019-09-30,41.76
2019-10-05,49.188
2019-10-05,51.922
2019-10-12,48.287
2019-10-17,52.103
2019-10-17,51.125
2019-10-24,49.243
2019-10-29,52.502
2019-10-29,51.488
2019-11-05,50.074
2019-11-10,53.066
2019-11-10,51.272
2019-11-17,50.754
2019-11-22,53.143
2019-11-22,52.514
2019-11-29,50.628
2019-12-04,53.098
2019-12-04,52.201
2019-12-11,50.839
2019-12-16,53.063
2019-12-16,55.404
2019-12-23,50.63
2019-12-28,52.821
2019-12-28,52.493
2020-01-04,50.721
2020-01-09,50.93
2020-01-09,55.268
2020-01-16,50.557
2020-01-21,53.115
2020-01-21,52.43
2020-01-28,50.906
2020-02-02,53.032
2020-02-02,51.677
2020-02-09,51.122
2020-02-14,53.326
2020-02-14,51.722
2020-02-21,51.395
2020-02-26,52.765
2020-02-26,53.145
2020-03-04,51.463
2020-03-09,53.22
2020-03-09,51.627
2020-03-16,50.731
2020-03-21,53.335
2020-03-28,51.96
2020-04-02,53.453
2020-04-09,52.063
2020-04-14,53.632
2020-04-21,51.664
2020-04-26,51.929
2020-05-03,51.448
2020-05-08,53.072
2020-05-15,50.946
2020-05-20,53.473
2020-05-27,52.216
2020-06-01,53.458
2020-06-08,51.15
2020-06-13,53.275
2020-06-20,45.795
2020-06-25,52.413
2020-07-02,49.781
2020-07-07,48.077
2020-07-14,48.63
2020-07-26,47.902
2020-07-31,51.457
2020-08-07,46.128
2020-08-12,48.307
2020-08-19,49.45
2020-08-24,51.399
2020-08-31,50.262
2020-09-05,52.112
2020-09-12,49.565
2020-09-17,51.967
2020-09-24,44.196
2020-09-29,51.501
2020-10-06,47.285
2020-10-11,52.528
2020-10-18,50.733
2020-10-18,64.125
2020-10-23,52.798
2020-10-30,50.953
2020-10-30,63.031
2020-11-04,53.288
2020-11-11,51.056
2020-11-11,60.965
2020-11-16,53.343
2020-11-23,51.227
