system:time_start,SOC
"Mar 1, 2018",1.129
"Dec 1, 2018",1.13
"Jan 1, 2019",1.287
"Feb 1, 2019",1.785
"Mar 1, 2019",1.493
"Apr 1, 2019",0.75
"May 1, 2019",0.632
"Jun 1, 2019",0.534
"Jul 1, 2019",0.949
"Aug 1, 2019",1.254
"Sep 1, 2019",1.666
"Oct 1, 2019",1.467
"Nov 1, 2019",1.062
"Dec 1, 2019",0.928
"Jan 1, 2020",1.667
"Feb 1, 2020",1.976
"Mar 1, 2020",1.604
"Apr 1, 2020",0.923
"May 1, 2020",0.967
"Jun 1, 2020",0.956
"Jul 1, 2020",1.042
"Aug 1, 2020",2.039
"Sep 1, 2020",1.852
"Oct 1, 2020",1.582
"Nov 1, 2020",1.019
"Dec 1, 2020",1.112
"Jan 1, 2021",1.31
"Feb 1, 2021",1.797
"Mar 1, 2021",1.266
"Apr 1, 2021",0.739
"May 1, 2021",0.595
"Jun 1, 2021",1.034
"Jul 1, 2021",1.023
"Aug 1, 2021",2.073
"Sep 1, 2021",1.843
"Oct 1, 2021",1.722
"Nov 1, 2021",1.103
"Dec 1, 2021",0.944
"Jan 1, 2022",1.257
"Feb 1, 2022",1.33
"Mar 1, 2022",1.12
"Apr 1, 2022",0.535
"May 1, 2022",0.463
"Jun 1, 2022",0.497
"Aug 1, 2022",0.784
"Sep 1, 2022",0.621
"Oct 1, 2022",1.235
"Nov 1, 2022",0.804
"Dec 1, 2022",0.663
"Jan 1, 2023",0.995
"Feb 1, 2023",1.217
"Mar 1, 2023",0.886
"Apr 1, 2023",0.5
"May 1, 2023",0.474
"Jun 1, 2023",0.427
"Aug 1, 2023",1.099
"Sep 1, 2023",1.299
"Oct 1, 2023",1.222
"Nov 1, 2023",0.798
"Dec 1, 2023",0.754
"Jan 1, 2024",0.941
"Feb 1, 2024",1.238
"Mar 1, 2024",1.142
"Apr 1, 2024",0.501
"May 1, 2024",0.427
"Jun 1, 2024",0.444
"Jul 1, 2024",0.572
"Sep 1, 2024",1.231
"Oct 1, 2024",1.165
"Nov 1, 2024",0.729
"Dec 1, 2024",0.65
