year,month,SOC,BD,Soil_Moisture_%,pH,CEC,SOC_stock
2018,3,1.129,1.441,52.297285714285714,6.418,12.011,48.806670000000004
2018,12,1.13,1.426,53.84285714285714,6.445,11.148,48.34139999999999
2019,1,1.287,1.423,54.236125,6.455,11.288,54.942029999999995
2019,2,1.785,1.421,52.630857142857145,6.431,11.477,76.09455
2019,3,1.493,1.428,52.307,6.407,11.196,63.96012
2019,4,0.75,1.44,52.35142857142857,6.386,10.93,32.400000000000006
2019,5,0.632,1.446,52.863625,6.373,10.99,27.41616
2019,6,0.534,1.45,52.454,6.367,11.002,23.229
2019,7,0.949,1.432,52.042,6.42,11.189,40.76904
2019,8,1.254,1.429,50.672909090909094,6.413,11.353,53.75898000000001
2019,9,1.666,1.412,48.307625,6.494,11.539,70.57175999999998
2019,10,1.467,1.413,50.35892307692307,6.484,11.318,62.186130000000006
2019,11,1.062,1.426,51.93823076923077,6.438,11.029,45.432359999999996
2019,12,0.928,1.427,52.43372222222222,6.447,11.072,39.72768000000001
2020,1,1.667,1.417,52.12533333333333,6.459,11.463,70.86417
2020,2,1.976,1.419,52.273,6.433,11.621,84.11832
2020,3,1.604,1.425,52.056000000000004,6.411,11.172,68.57100000000001
2020,4,0.923,1.44,52.548199999999994,6.378,11.004,39.8736
2020,5,0.967,1.443,52.230999999999995,6.367,11.136,41.86143
2020,6,0.956,1.439,51.2182,6.388,11.235,41.27052
2020,7,1.042,1.409,48.96271428571429,6.54,11.435,44.045339999999996
2020,8,2.039,1.415,49.1092,6.445,11.534,86.55555
2020,9,1.852,1.413,49.8682,6.468,11.609,78.50628
2020,10,1.582,1.419,54.49328571428571,6.44,11.26,67.34574
2020,11,1.019,1.429,54.93942857142857,6.42,11.004,43.68453
2020,12,1.112,1.426,56.22275,6.44,11.016,47.57136
2021,1,1.31,1.423,54.01085714285715,6.439,11.16,55.9239
2021,2,1.797,1.42,55.03575,6.434,11.384,76.55219999999998
2021,3,1.266,1.427,54.41442857142857,6.425,11.206,54.19746000000001
2021,4,0.739,1.439,55.388875,6.401,11.009,31.90263
2021,5,0.595,1.446,54.39857142857143,6.377,11.052,25.8111
2021,6,1.034,1.436,50.4915,6.39,11.231,44.54472
2021,7,1.023,1.411,51.438857142857145,6.526,11.386,43.30359000000001
2021,8,2.073,1.414,52.46888888888889,6.457,11.689,87.93666000000002
2021,9,1.843,1.411,52.790166666666664,6.474,11.36,78.01419
2021,10,1.722,1.413,52.19877777777778,6.468,11.37,72.99558
2021,11,1.103,1.424,54.84583333333333,6.448,11.147,47.12016
2021,12,0.944,1.428,53.64528571428571,6.437,10.969,40.44096
2022,1,1.257,1.425,53.708875,6.467,11.685,53.736749999999994
2022,2,1.33,1.435,52.84914285714286,6.434,12.216,57.2565
2022,3,1.12,1.44,53.72675,6.415,11.914,48.38399999999999
2022,4,0.535,1.459,53.84128571428572,6.365,11.554,23.41695
2022,5,0.463,1.461,53.646375,6.374,11.672,20.29329
2022,6,0.497,1.465,53.75600000000001,6.348,11.769,21.84315
2022,8,0.784,1.428,51.237,6.522,11.952,33.586560000000006
2022,9,0.621,1.423,49.800799999999995,6.547,11.783,26.51049
2022,10,1.235,1.432,51.382600000000004,6.451,12.052,53.055600000000005
2022,11,0.804,1.442,52.1865,6.426,11.725,34.78104
2022,12,0.663,1.442,52.062599999999996,6.439,11.69,28.68138
2023,1,0.995,1.437,52.097,6.441,11.857,42.89445
2023,2,1.217,1.437,52.107,6.427,12.049,52.46487
2023,3,0.886,1.445,52.23133333333334,6.406,11.757,38.4081
2023,4,0.5,1.459,52.361599999999996,6.377,11.581,21.885
2023,5,0.474,1.462,52.205600000000004,6.364,11.626,20.78964
2023,6,0.427,1.466,51.74679999999999,6.362,11.717,18.779459999999997
2023,8,1.099,1.424,50.16,6.508,12.065,46.94928
2023,9,1.299,1.433,49.6,6.449,12.234,55.84401
2023,10,1.222,1.435,50.275999999999996,6.436,11.998,52.6071
2023,11,0.798,1.443,51.869600000000005,6.418,11.708,34.54542000000001
2023,12,0.754,1.442,51.72466666666667,6.429,11.701,32.61803999999999
2024,1,0.941,1.441,51.604,6.427,11.818,40.679429999999996
2024,2,1.238,1.434,51.662,6.447,12.119,53.258759999999995
2024,3,1.142,1.44,51.7734,6.418,11.938,49.33439999999999
2024,4,0.501,1.458,52.198800000000006,6.377,11.583,21.913739999999997
2024,5,0.427,1.462,51.9028,6.371,11.628,18.72822
2024,6,0.444,1.466,51.916,6.358,11.706,19.52712
2024,7,0.572,1.43,50.0846,6.548,11.938,24.538799999999995
2024,9,1.231,1.428,49.2342,6.484,12.182,52.73604
2024,10,1.165,1.434,51.2466,6.445,12.067,50.1183
2024,11,0.729,1.444,51.632,6.422,11.805,31.58028
2024,12,0.65,1.445,51.59833333333333,6.423,11.577,28.1775
